dataset,model,attack_type,epsilon,acc_mean,acc_std,f1_mean,f1_std,n_samples,n_features
MNIST,GB,Targeted_LF,0.01,0.891125,0.004058,0.891099,0.004061,8000,784
MNIST,LR,Targeted_LF,0.05,0.861,0.006144,0.860655,0.006186,8000,784
MNIST,RF,Targeted_LF,0.05,0.95925,0.002574,0.959237,0.002573,8000,784
MNIST,GB,Targeted_LF,0.05,0.889125,0.002039,0.889016,0.002062,8000,784
MNIST,LR,Targeted_LF,0.1,0.853,0.010096,0.852198,0.010229,8000,784
MNIST,RF,Targeted_LF,0.1,0.956,0.000935,0.955971,0.000941,8000,784
MNIST,GB,Targeted_LF,0.1,0.887125,0.005148,0.886786,0.005189,8000,784
MNIST,LR,Targeted_LF,0.15,0.840125,0.006817,0.838642,0.006994,8000,784
MNIST,RF,Targeted_LF,0.15,0.947625,0.004391,0.947539,0.004405,8000,784
MNIST,GB,Targeted_LF,0.15,0.881875,0.003087,0.881206,0.003107,8000,784
MNIST,LR,Targeted_LF,0.2,0.829125,0.008915,0.826389,0.009321,8000,784
MNIST,RF,Targeted_LF,0.2,0.94275,0.004835,0.942586,0.004878,8000,784
MNIST,GB,Targeted_LF,0.2,0.8695,0.004444,0.868065,0.004709,8000,784
MNIST,LR,Targeted_LF,0.25,0.80725,0.007295,0.802629,0.00768,8000,784
MNIST,RF,Targeted_LF,0.25,0.918875,0.004479,0.918322,0.004541,8000,784
MNIST,GB,Targeted_LF,0.25,0.84975,0.004883,0.846838,0.005092,8000,784
MNIST,LR,Targeted_LF,0.3,0.783,0.004134,0.775017,0.004431,8000,784
MNIST,RF,Targeted_LF,0.3,0.897875,0.002187,0.896658,0.002254,8000,784
MNIST,GB,Targeted_LF,0.3,0.82275,0.01019,0.81705,0.011443,8000,784
