Датасет,Модель,Тип атаки,ε (доля),Профиль защиты,F1_base,F1_prot,F1_std,ASR_prot,removal_rate,time_ratio,I_score
MNIST,LR,Random_LF,0.0100,auto,0.8747,0.8704,0.0067,,0.0100,0.5159,0.6949
MNIST,LR,Random_LF,0.0100,lf,0.8747,0.8704,0.0067,,0.0100,0.6108,0.6759
MNIST,LR,Random_LF,0.0500,auto,0.8747,0.8574,0.0068,,0.0500,0.5171,0.6887
MNIST,LR,Random_LF,0.0500,lf,0.8747,0.8574,0.0068,,0.0500,0.4962,0.6929
MNIST,LR,Random_LF,0.1000,auto,0.8747,0.8386,0.0083,,0.1000,0.4523,0.6931
MNIST,LR,Random_LF,0.1000,lf,0.8747,0.8386,0.0083,,0.1000,0.4810,0.6873
MNIST,LR,Random_LF,0.1500,auto,0.8747,0.8205,0.0029,,0.1500,0.5080,0.6736
MNIST,LR,Random_LF,0.1500,lf,0.8747,0.8205,0.0029,,0.1500,0.5272,0.6698
MNIST,LR,Random_LF,0.2000,auto,0.8747,0.7946,0.0102,,0.2000,0.4066,0.6821
MNIST,LR,Random_LF,0.2000,lf,0.8747,0.7946,0.0102,,0.2000,0.4212,0.6791
MNIST,LR,Random_LF,0.2500,auto,0.8747,0.7654,0.0091,,0.2500,0.4578,0.6585
MNIST,LR,Random_LF,0.2500,lf,0.8747,0.7654,0.0091,,0.2500,0.5193,0.6462
MNIST,LR,Random_LF,0.3000,auto,0.8747,0.7349,0.0066,,0.3000,0.4148,0.6531
MNIST,LR,Random_LF,0.3000,lf,0.8747,0.7349,0.0066,,0.3000,0.4558,0.6449
MNIST,LR,Targeted_LF,0.0100,auto,0.8747,0.8699,0.0055,,0.0100,0.5386,0.6901
MNIST,LR,Targeted_LF,0.0100,lf,0.8747,0.8699,0.0055,,0.0100,0.4563,0.7066
MNIST,LR,Targeted_LF,0.0500,auto,0.8747,0.8595,0.0025,,0.0500,0.6587,0.6613
MNIST,LR,Targeted_LF,0.0500,lf,0.8747,0.8595,0.0025,,0.0500,0.6194,0.6692
MNIST,LR,Targeted_LF,0.1000,auto,0.8747,0.8492,0.0031,,0.1000,0.4843,0.6915
