dataset,model,attack_type,epsilon,defense_profile,acc_mean,acc_std,f1_mean,f1_std,removal_rate_mean,removal_rate_std,time_ratio_mean,I_score,n_samples,n_features
SMS_Spam,LR,Random_LF,0.05,lf,0.95139,0.005118,0.896589,0.011093,0.050079,9e-05,0.6877,0.638514,5572,500
SMS_Spam,RF,Random_LF,0.05,lf,0.972197,0.003971,0.936846,0.009718,0.050079,9e-05,0.0702,0.779321,5572,500
SMS_Spam,GB,Random_LF,0.05,lf,0.958924,0.004445,0.90143,0.012562,0.050079,9e-05,0.3616,0.723353,5572,500
SMS_Spam,LR,Random_LF,0.1,auto,0.93722,0.010581,0.868784,0.021073,0.100067,0.0,1.4448,0.475433,5572,500
SMS_Spam,RF,Random_LF,0.1,auto,0.964484,0.004191,0.9204,0.011186,0.100067,0.0,0.0074,0.784974,5572,500
SMS_Spam,GB,Random_LF,0.1,auto,0.957309,0.003138,0.89759,0.009105,0.100067,0.0,0.4322,0.707537,5572,500
SMS_Spam,LR,Random_LF,0.1,lf,0.93722,0.010581,0.868784,0.021073,0.100067,0.0,1.0364,0.557102,5572,500
SMS_Spam,RF,Random_LF,0.1,lf,0.964484,0.004191,0.9204,0.011186,0.100067,0.0,0.08,0.770452,5572,500
SMS_Spam,GB,Random_LF,0.1,lf,0.957309,0.003138,0.89759,0.009105,0.100067,0.0,0.1566,0.762664,5572,500
SMS_Spam,LR,Random_LF,0.15,auto,0.921076,0.009742,0.839884,0.016594,0.150191,0.00011,1.3131,0.489646,5572,500
SMS_Spam,RF,Random_LF,0.15,auto,0.951211,0.009636,0.891617,0.022994,0.150191,0.00011,0.079,0.758564,5572,500
SMS_Spam,GB,Random_LF,0.15,auto,0.950135,0.005965,0.877242,0.017306,0.150191,0.00011,0.047,0.775659,5572,500
SMS_Spam,LR,Random_LF,0.15,lf,0.921076,0.009742,0.839884,0.016594,0.150191,0.00011,2.1051,0.331241,5572,500
SMS_Spam,RF,Random_LF,0.15,lf,0.951211,0.009636,0.891617,0.022994,0.150191,0.00011,0.0442,0.765535,5572,500
SMS_Spam,GB,Random_LF,0.15,lf,0.950135,0.005965,0.877242,0.017306,0.150191,0.00011,0.1859,0.747863,5572,500
SMS_Spam,LR,Random_LF,0.2,auto,0.895247,0.005423,0.797105,0.010664,0.200135,0.0,1.2267,0.488979,5572,500
SMS_Spam,RF,Random_LF,0.2,auto,0.937578,0.007748,0.864156,0.014314,0.200135,0.0,-0.0578,0.774392,5572,500
SMS_Spam,GB,Random_LF,0.2,auto,0.946726,0.00383,0.868353,0.011668,0.200135,0.0,0.2385,0.733443,5572,500
SMS_Spam,LR,Random_LF,0.2,lf,0.895247,0.005423,0.797105,0.010664,0.200135,0.0,1.739,0.386525,5572,500
SMS_Spam,RF,Random_LF,0.2,lf,0.937578,0.007748,0.864156,0.014314,0.200135,0.0,-0.0397,0.770783,5572,500
SMS_Spam,GB,Random_LF,0.2,lf,0.946726,0.00383,0.868353,0.011668,0.200135,0.0,0.0954,0.762068,5572,500
SMS_Spam,LR,Random_LF,0.25,auto,0.858296,0.001965,0.743267,0.004318,0.250168,0.0,1.8455,0.342651,5572,500
SMS_Spam,RF,Random_LF,0.25,auto,0.918027,0.004114,0.827668,0.005692,0.250168,0.0,-0.0864,0.764802,5572,500
SMS_Spam,GB,Random_LF,0.25,auto,0.937937,0.004516,0.844775,0.010154,0.250168,0.0,0.1231,0.746182,5572,500
SMS_Spam,LR,Random_LF,0.25,lf,0.858296,0.001965,0.743267,0.004318,0.250168,0.0,1.7856,0.354632,5572,500
SMS_Spam,RF,Random_LF,0.25,lf,0.918027,0.004114,0.827668,0.005692,0.250168,0.0,-0.0578,0.759084,5572,500
SMS_Spam,GB,Random_LF,0.25,lf,0.937937,0.004516,0.844775,0.010154,0.250168,0.0,0.0608,0.75864,5572,500
SMS_Spam,LR,Random_LF,0.3,auto,0.80861,0.006654,0.679612,0.010324,0.299978,0.0,1.9685,0.291347,5572,500
SMS_Spam,RF,Random_LF,0.3,auto,0.886278,0.006793,0.770398,0.015928,0.299978,0.0,-0.1296,0.749383,5572,500
SMS_Spam,GB,Random_LF,0.3,auto,0.918924,0.005124,0.782608,0.016759,0.299978,0.0,0.0103,0.74146,5572,500
SMS_Spam,LR,Random_LF,0.3,lf,0.80861,0.006654,0.679612,0.010324,0.299978,0.0,1.9759,0.289857,5572,500
